ldsId,passageTime,passagetimeMs,loopPairId,startLoop,endLoop,vehicleLength,vehicleSpeed
1537,1643072211,332,2,3,4,1609,78
1537,1643072353,260,2,3,4,364,105
1537,1643072432,402,2,3,4,390,124
1537,1643072545,758,2,3,4,412,145
1537,1643072729,414,2,3,4,739,122
1537,1643072796,223,2,3,4,376,113
1537,1643073179,898,2,3,4,331,93
1537,1643073188,820,2,3,4,1730,93
1537,1643073563,891,2,3,4,419,95
1537,1643073612,31,3,5,6,319,72
1537,1643073701,277,2,3,4,467,147
1537,1643073841,471,2,3,4,374,109
1537,1643074069,469,2,3,4,631,129
1537,1643074120,302,3,5,6,380,95
1537,1643075109,953,3,5,6,767,97
1537,1643075247,529,3,5,6,1470,89
1537,1643075338,78,2,3,4,642,130
1537,1643075582,514,3,5,6,503,114
1537,1643075652,532,3,5,6,1707,75
1537,1643075676,278,3,5,6,1668,65
1537,1643075693,550,3,5,6,424,108
1537,1643075792,516,3,5,6,1912,76
1537,1643075973,952,3,5,6,994,87
1537,1643076052,840,2,3,4,340,109
1537,1643076126,637,2,3,4,525,94
1537,1643076222,921,2,3,4,382,90
1537,1643076331,121,3,5,6,411,138
1537,1643076438,817,2,3,4,300,102
1537,1643076459,167,2,3,4,360,92
1537,1643076522,928,2,3,4,426,124
1537,1643076558,319,3,5,6,382,101
1537,1643076581,441,2,3,4,395,106
1537,1643076637,962,3,5,6,1679,62
1537,1643076708,641,2,3,4,429,112
1537,1643076796,462,3,5,6,743,95
1537,1643077105,735,3,5,6,1674,78
1537,1643077208,652,2,3,4,373,130
1537,1643077211,716,2,3,4,854,76
1537,1643077277,104,3,5,6,1662,82
1537,1643077326,524,2,3,4,1682,92
1537,1643077382,196,3,5,6,432,112
1537,1643077418,732,2,3,4,466,119
1537,1643077499,66,2,3,4,391,120
1537,1643077536,393,3,5,6,404,99
1537,1643077550,176,2,3,4,465,100
1537,1643077591,335,3,5,6,393,115
1537,1643077657,848,2,3,4,453,131
1537,1643077696,24,3,5,6,386,106
1537,1643077855,486,2,3,4,406,126
1537,1643077905,494,2,3,4,385,125
1537,1643077944,911,3,5,6,456,117
1537,1643078100,117,2,3,4,367,96
1537,1643078113,35,3,5,6,385,105
1537,1643078166,187,3,5,6,459,99
1537,1643078215,130,2,3,4,328,94
1537,1643078236,778,2,3,4,1675,85
1537,1643078251,684,2,3,4,424,128
1537,1643078254,723,3,5,6,334,93
1537,1643078361,820,3,5,6,482,96
1537,1643078513,192,2,3,4,521,129
1537,1643078517,875,2,3,4,390,118
1537,1643078551,260,2,3,4,333,79
1537,1643078615,505,3,5,6,605,78
1537,1643078624,307,2,3,4,408,99
1537,1643078640,563,2,3,4,484,119
1537,1643078773,312,2,3,4,451,123
1537,1643078829,366,3,5,6,458,112
1537,1643078856,972,2,3,4,457,128
1537,1643078883,598,2,3,4,534,138
1537,1643078940,626,2,3,4,430,155
1537,1643078969,849,2,3,4,415,123
1537,1643078987,655,2,3,4,442,126
1537,1643079006,745,2,3,4,474,128
1537,1643079056,755,2,3,4,385,109
1537,1643079131,156,3,5,6,360,116
1537,1643079140,648,2,3,4,380,101
1537,1643079174,395,2,3,4,408,136
1537,1643079218,952,3,5,6,416,105
1537,1643079289,18,3,5,6,352,116
1537,1643079444,271,3,5,6,424,108
1537,1643079481,825,2,3,4,441,112
1537,1643079483,247,2,3,4,322,111
1537,1643079491,543,2,3,4,130,118
1537,1643079541,187,2,3,4,427,118
1537,1643079596,567,2,3,4,402,103
1537,1643079611,922,2,3,4,409,98
1537,1643079698,79,2,3,4,384,126
1537,1643079705,243,2,3,4,1666,91
1537,1643079742,742,2,3,4,1674,95
1537,1643079779,179,2,3,4,1758,86
1537,1643079816,435,3,5,6,426,126
1537,1643079903,477,2,3,4,457,123
1537,1643079912,669,2,3,4,438,117
1537,1643079952,158,2,3,4,398,119
1537,1643080034,43,2,3,4,383,107
1537,1643080081,96,2,3,4,446,112
1537,1643080082,554,2,3,4,433,110
1537,1643080196,857,3,5,6,400,113
1537,1643080280,590,3,5,6,673,100
1537,1643080332,208,2,3,4,377,96
1537,1643080332,720,1,1,2,427,124
1537,1643080365,508,2,3,4,396,127
1537,1643080412,599,2,3,4,387,115
1537,1643080431,484,2,3,4,444,87
1537,1643080497,607,3,5,6,1757,78
1537,1643080539,642,3,5,6,563,97
1537,1643080554,673,2,3,4,372,127
1537,1643080589,898,2,3,4,394,94
1537,1643080678,582,2,3,4,1680,91
1537,1643080796,382,3,5,6,741,82
1537,1643080799,144,2,3,4,385,96
1537,1643080844,538,2,3,4,395,132
1537,1643080852,292,3,5,6,452,105
1537,1643080873,819,3,5,6,337,98
1537,1643080921,486,3,5,6,753,89
1537,1643080941,131,2,3,4,395,104
1537,1643080950,375,2,3,4,406,98
1537,1643080952,154,2,3,4,416,105
1537,1643080959,222,3,5,6,725,92
1537,1643081078,733,2,3,4,384,105
1537,1643081103,931,2,3,4,346,112
1537,1643081114,891,2,3,4,513,115
1537,1643081114,914,3,5,6,435,82
1537,1643081130,262,3,5,6,584,92
1537,1643081131,954,2,3,4,439,106
1537,1643081172,620,2,3,4,405,110
1537,1643081210,642,3,5,6,333,100
1537,1643081212,619,3,5,6,370,97
1537,1643081217,22,2,3,4,487,105
1537,1643081255,505,3,5,6,512,126
1537,1643081264,932,2,3,4,334,125
1537,1643081268,987,3,5,6,1677,86
1537,1643081277,571,3,5,6,577,104
1537,1643081279,425,2,3,4,374,114
1537,1643081391,847,2,3,4,439,97
1537,1643081426,660,3,5,6,373,104
1537,1643081435,860,2,3,4,371,104
1537,1643081465,103,2,3,4,437,120
1537,1643081475,715,2,3,4,419,104
1537,1643081480,437,3,5,6,390,97
1537,1643081483,174,3,5,6,423,98
1537,1643081521,625,2,3,4,393,133
1537,1643081550,975,3,5,6,382,111
1537,1643081609,368,3,5,6,416,99
1537,1643081631,788,2,3,4,412,104
1537,1643081667,21,2,3,4,380,98
1537,1643081680,704,3,5,6,225,85
1537,1643081706,985,3,5,6,465,105
1537,1643081710,690,2,3,4,1653,86
1537,1643081747,843,2,3,4,417,114
1537,1643081751,612,3,5,6,450,108
1537,1643081757,350,2,3,4,444,124
